,userId,movieId,rating
0,1.0,2.0,3.5
1,1.0,29.0,3.5
2,1.0,32.0,3.5
3,1.0,47.0,3.5
4,1.0,50.0,3.5
5,1.0,112.0,3.5
13,1.0,337.0,3.5
14,1.0,367.0,3.5
16,1.0,589.0,3.5
17,1.0,593.0,3.5
18,1.0,653.0,3.0
19,1.0,919.0,3.5
20,1.0,924.0,3.5
21,1.0,1009.0,3.5
24,1.0,1080.0,3.5
25,1.0,1089.0,3.5
28,1.0,1136.0,3.5
29,1.0,1193.0,3.5
33,1.0,1201.0,3.0
34,1.0,1208.0,3.5
37,1.0,1217.0,3.5
39,1.0,1222.0,3.5
41,1.0,1243.0,3.0
42,1.0,1246.0,3.5
46,1.0,1261.0,3.5
47,1.0,1262.0,3.5
50,1.0,1291.0,3.5
51,1.0,1304.0,3.0
54,1.0,1348.0,3.5
55,1.0,1350.0,3.5
57,1.0,1370.0,3.0
60,1.0,1525.0,3.0
61,1.0,1584.0,3.5
62,1.0,1750.0,3.5
63,1.0,1848.0,3.5
64,1.0,1920.0,3.5
66,1.0,1994.0,3.5
67,1.0,1997.0,3.5
77,1.0,2194.0,3.5
78,1.0,2253.0,3.5
83,1.0,2644.0,3.5
84,1.0,2648.0,3.5
85,1.0,2664.0,3.5
86,1.0,2683.0,3.5
87,1.0,2692.0,3.5
88,1.0,2716.0,3.5
89,1.0,2761.0,3.0
91,1.0,2804.0,3.5
93,1.0,2918.0,3.5
95,1.0,2947.0,3.5
98,1.0,3000.0,3.5
99,1.0,3030.0,3.0
100,1.0,3037.0,3.5
103,1.0,3265.0,3.5
104,1.0,3438.0,3.5
105,1.0,3476.0,3.5
110,1.0,3932.0,3.0
112,1.0,3997.0,3.5
115,1.0,4105.0,3.5
117,1.0,4133.0,3.0
118,1.0,4226.0,3.5
120,1.0,4446.0,3.5
123,1.0,4720.0,3.5
125,1.0,4878.0,3.5
128,1.0,4915.0,3.0
129,1.0,4941.0,3.5
130,1.0,4980.0,3.5
134,1.0,5040.0,3.0
135,1.0,5146.0,3.5
138,1.0,5679.0,3.5
141,1.0,5898.0,3.5
143,1.0,5999.0,3.5
145,1.0,6242.0,3.5
147,1.0,6502.0,3.5
150,1.0,6755.0,3.5
152,1.0,6807.0,3.5
153,1.0,6834.0,3.5
154,1.0,6888.0,3.0
